Date,SL_Value
2010-01-01,86.2
2010-01-02,79.4
2010-01-03,8.8
2010-01-04,20.7
2010-01-05,65.8
2010-01-06,84.3
2010-01-07,85.6
2010-01-08,88
2010-01-09,69.6
2010-01-10,70.8
2010-01-11,89.1
2010-01-12,91.1
2010-01-13,81.1
2010-01-14,78.1
2010-01-15,91.6
2010-01-16,86.9
2010-01-17,80
2010-01-18,98
2010-01-19,86.9
2010-01-20,82.1
2010-01-21,91.7
2010-01-22,94.7
2010-01-23,81.7
2010-01-24,80.7
2010-01-25,87.9
2010-01-26,91.3
2010-01-27,82.3
2010-01-28,71.9
2010-01-29,92.4
2010-01-30,95
2010-01-31,93.9
2010-02-01,88.6
2010-02-02,78.9
2010-02-03,79.8
2010-02-04,78.3
2010-02-05,93.6
2010-02-06,84.4
2010-02-07,83.9
2010-02-08,98.4
2010-02-09,72.4
2010-02-10,62.2
2010-02-11,29.8
2010-02-12,81.4
2010-02-13,74.6
2010-02-14,73.4
2010-02-15,95.3
2010-02-16,79.4
2010-02-17,89.5
2010-02-18,66.2
2010-02-19,92.7
2010-02-20,90.8
2010-02-21,89.7
2010-02-22,96.3
2010-02-23,97.7
2010-02-24,86.4
2010-02-25,75.8
2010-02-26,75.2
2010-02-27,83.5
2010-02-28,79.3
2010-03-01,77.7
2010-03-02,82.2
2010-03-03,93.2
2010-03-04,72.2
2010-03-05,90
2010-03-06,88
2010-03-07,86.6
2010-03-08,86.4
2010-03-09,92.3
2010-03-10,91.2
2010-03-11,66.6
2010-03-12,70.2
2010-03-13,48.1
2010-03-14,23.9
2010-03-15,44
2010-03-16,76.9
2010-03-17,89.8
2010-03-18,90.8
2010-03-19,94
2010-03-20,88.3
2010-03-21,86.5
2010-03-22,93.3
2010-03-23,85.6
2010-03-24,93.7
2010-03-25,88.8
2010-03-26,96
2010-03-27,84.5
2010-03-28,78.6
2010-03-29,83.3
2010-03-30,69.6
2010-03-31,95.7
2010-04-01,96.6
2010-04-02,92.8
2010-04-03,91.1
2010-04-04,80.6
2010-04-05,96.6
2010-04-06,95.4
2010-04-07,91.8
2010-04-08,76.6
2010-04-09,59.2
2010-04-10,88.8
2010-04-11,90.1
2010-04-12,94.1
2010-04-13,97.4
2010-04-14,95.3
2010-04-15,95.8
2010-04-16,93.3
2010-04-17,94.8
2010-04-18,93.3
2010-04-19,97.6
2010-04-20,97.2
2010-04-21,96
2010-04-22,97.7
2010-04-23,80.6
2010-04-24,93.1
2010-04-25,95
2010-04-26,95.5
2010-04-27,90.6
2010-04-28,88.4
2010-04-29,92
2010-04-30,84.2
2010-05-01,91
2010-05-02,89.1
2010-05-03,88.3
2010-05-04,90.6
2010-05-05,91
2010-05-06,90.2
2010-05-07,88.4
2010-05-08,71
2010-05-09,88.9
2010-05-10,88.7
2010-05-11,88.6
2010-05-12,90.9
2010-05-13,93.9
2010-05-14,85.8
2010-05-15,90.4
2010-05-16,88.2
2010-05-17,92.8
2010-05-18,98.6
2010-05-19,89.1
2010-05-20,96.6
2010-05-21,85.8
2010-05-22,90.7
2010-05-23,87.8
2010-05-24,94.6
2010-05-25,93.8
2010-05-26,85.4
2010-05-27,94
2010-05-28,90.5
2010-05-29,96
2010-05-30,94.4
2010-05-31,95.5
2010-06-01,59.5
2010-06-02,63.4
2010-06-03,68.7
2010-06-04,65.7
2010-06-05,77.4
2010-06-06,78.8
2010-06-07,59.5
2010-06-08,88.2
2010-06-09,88
2010-06-10,80.5
2010-06-11,86
2010-06-12,84.1
2010-06-13,91.1
2010-06-14,89.6
2010-06-15,92.8
2010-06-16,77.4
2010-06-17,48
2010-06-18,43.1
2010-06-19,79.7
2010-06-20,83.5
2010-06-21,57.1
2010-06-22,64.6
2010-06-23,40
2010-06-24,59.9
2010-06-25,59.7
2010-06-26,77.4
2010-06-27,74.7
2010-06-28,8.4
2010-06-29,43.8
2010-06-30,34.9
2010-07-01,45.5
2010-07-02,70.9
2010-07-03,87.5
2010-07-04,71.2
2010-07-05,74.4
2010-07-06,33.9
2010-07-07,73.4
2010-07-08,83.2
2010-07-09,85.9
2010-07-10,83.8
2010-07-11,77.3
2010-07-12,55.5
2010-07-13,91.5
2010-07-14,87.5
2010-07-15,92.8
2010-07-16,93.1
2010-07-17,68.4
2010-07-18,74.2
2010-07-19,82.1
2010-07-20,95
2010-07-21,89.7
2010-07-22,93.7
2010-07-23,95.1
2010-07-24,77.6
2010-07-25,65.9
2010-07-26,70.3
2010-07-27,89
2010-07-28,95.6
2010-07-29,97.7
2010-07-30,97.4
2010-07-31,89.6
2010-08-01,93.6
2010-08-02,85.8
2010-08-03,96.5
2010-08-04,92.8
2010-08-05,84.7
2010-08-06,96.7
2010-08-07,95.7
2010-08-08,93.1
2010-08-09,80.5
2010-08-10,90.8
2010-08-11,89.8
2010-08-12,97.7
2010-08-13,97.7
2010-08-14,94.5
2010-08-15,92.7
2010-08-16,88.5
2010-08-17,95.9
2010-08-18,95.5
2010-08-19,85.8
2010-08-20,97.3
2010-08-21,93.9
2010-08-22,91.5
2010-08-23,89.5
2010-08-24,94.1
2010-08-25,73.5
2010-08-26,85.4
2010-08-27,95.9
2010-08-28,94.4
2010-08-29,92.8
2010-08-30,93.7
2010-08-31,93.2
2010-09-01,79.1
2010-09-02,78
2010-09-03,97.9
2010-09-04,94.5
2010-09-05,93.6
2010-09-06,96.9
2010-09-07,72.9
2010-09-08,86.2
2010-09-09,95.5
2010-09-10,98.1
2010-09-11,96.1
2010-09-12,95.5
2010-09-13,63.6
2010-09-14,88.4
2010-09-15,88.1
2010-09-16,57.6
2010-09-17,42.7
2010-09-18,85
2010-09-19,95.6
2010-09-20,74.2
2010-09-21,75.7
2010-09-22,88.6
2010-09-23,82.9
2010-09-24,98.2
2010-09-25,95.9
2010-09-26,96.1
2010-09-27,97.4
2010-09-28,96.3
2010-09-29,91.6
2010-09-30,90.7
2010-10-01,93
2010-10-02,92
2010-10-03,93.4
2010-10-04,83.3
2010-10-05,93.9
2010-10-06,97.7
2010-10-07,90.7
2010-10-08,97.2
2010-10-09,96.9
2010-10-10,93.3
2010-10-11,97.6
2010-10-12,59.2
2010-10-13,93.7
2010-10-14,77.9
2010-10-15,95.9
2010-10-16,90.1
2010-10-17,92.2
2010-10-18,82.8
2010-10-19,84.4
2010-10-20,94.5
2010-10-21,90.1
2010-10-22,90.6
2010-10-23,95.7
2010-10-24,94.2
2010-10-25,97.1
2010-10-26,96.6
2010-10-27,97.8
2010-10-28,98.2
2010-10-29,96.2
2010-10-30,91
2010-10-31,91.2
2010-11-01,10.2
2010-11-02,77.4
2010-11-03,63.5
2010-11-04,50.1
2010-11-05,25.1
2010-11-06,86.5
2010-11-07,71.2
2010-11-08,35.4
2010-11-09,64.5
2010-11-10,94.2
2010-11-11,95.5
2010-11-12,80.7
2010-11-13,93.1
2010-11-14,88.5
2010-11-15,77
2010-11-16,86.4
2010-11-17,85.1
2010-11-18,75
2010-11-19,86.5
2010-11-20,95.6
2010-11-21,84.5
2010-11-22,95.4
2010-11-23,97.4
2010-11-24,96.8
2010-11-25,91.9
2010-11-26,96.4
2010-11-27,95.2
2010-11-28,89.9
2010-11-29,45.2
2010-11-30,51.7
2010-12-01,39.8
2010-12-02,74.3
2010-12-03,86.4
2010-12-04,94.8
2010-12-05,89.3
2010-12-06,68.5
2010-12-07,90.8
2010-12-08,68.2
2010-12-09,47.2
2010-12-10,90.5
2010-12-11,95.3
2010-12-12,86.9
2010-12-13,93.2
2010-12-14,83.5
2010-12-15,73.3
2010-12-16,85.5
2010-12-17,93
2010-12-18,94.9
2010-12-19,91.1
2010-12-20,92.9
2010-12-21,97.4
2010-12-22,97.8
2010-12-23,96.4
2010-12-24,93.6
2010-12-25,92.2
2010-12-26,47.7
2010-12-27,0
2010-12-28,5.3
2010-12-29,18.3
2010-12-30,63.4
2010-12-31,94
2011-01-01,93.7
2011-01-02,74.5
2011-01-03,88.4
2011-01-04,71.9
2011-01-05,62.6
2011-01-06,70.3
2011-01-07,93.4
2011-01-08,93.8
2011-01-09,82.6
2011-01-10,60.7
2011-01-11,66.7
2011-01-12,81.3
2011-01-13,80.1
2011-01-14,86.5
2011-01-15,95.2
2011-01-16,93.9
2011-01-17,97.1
2011-01-18,54.7
2011-01-19,90.3
2011-01-20,78
2011-01-21,91.4
2011-01-22,87.7
2011-01-23,64.1
2011-01-24,24.8
2011-01-25,91.3
2011-01-26,71.3
2011-01-27,46.8
2011-01-28,44.4
2011-01-29,55.3
2011-01-30,34.5
2011-01-31,30.2
2011-02-01,87.9
2011-02-02,39.4
2011-02-03,71.1
2011-02-04,71.7
2011-02-05,79.2
2011-02-06,75.8
2011-02-07,48.2
2011-02-08,62.5
2011-02-09,69.5
2011-02-10,94.7
2011-02-11,94.3
2011-02-12,89.8
2011-02-13,84
2011-02-14,93.9
2011-02-15,83.2
2011-02-16,90.2
2011-02-17,84.4
2011-02-18,90.2
2011-02-19,60
2011-02-20,72.2
2011-02-21,96.8
2011-02-22,62.5
